frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
189,27.0,[152.8129430560914 7.415973451215223 1664.0669371559584 934.7611740053526],[822.7364501953125 370.7806396484375 1187.061767578125 595.030517578125],0.5196275115013123,ঢাকা মেট্রোগ ১৭-২০৬৪,0.5576696235122225
190,27.0,[155.10521760771633 6.319117036362172 1667.1474157757175 935.7121523652004],[821.6837768554688 371.00225830078125 1186.6495361328125 594.7620849609375],0.5187655687332153,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.7226677068659442
191,27.0,[149.80671579185469 7.061202346998584 1664.2370130510658 941.1896723486151],[810.5901489257812 376.0185241699219 1183.639892578125 602.7230224609375],0.5250074863433838,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.67553136114931
192,27.0,[147.45950626095737 8.189521659001855 1663.7306266106682 948.332245151958],[810.3561401367188 375.9780578613281 1183.77587890625 602.8528442382812],0.5269975066184998,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.668943329872744
193,27.0,[146.24845573685252 7.577493129375 1663.9341918570008 952.4333094437175],[810.5108642578125 375.95654296875 1183.7388916015625 602.8531494140625],0.5274468660354614,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6792948698558195
194,27.0,[124.1830334454014 7.433299382709947 1655.6975823429923 958.3366854574807],[795.0507202148438 382.5196838378906 1166.2266845703125 607.191162109375],0.34986424446105957,ঢাকা মেট্রোগ ১৭-২০৬৪,0.4802825888926683
195,27.0,[113.63010040685651 4.479844119198049 1655.0067210504667 956.9088335092442],[794.8394165039062 382.48480224609375 1166.2420654296875 607.2822875976562],0.34806716442108154,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.5904614435728264
198,27.0,[126.90743366308607 2.9342884593400527 1656.0519454212683 962.8736854018362],[760.1846923828125 387.92926025390625 1137.727294921875 624.6515502929688],0.428634911775589,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6442474519188129
199,27.0,[132.76640541558822 0.8107970875514638 1653.1986115709374 957.9466801447749],[760.2383422851562 388.51739501953125 1137.33740234375 624.3251953125],0.41936057806015015,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6454441935759974
200,27.0,[136.66516014916863 -1.146403735222009 1650.6506716514673 951.342518773163],[760.7308959960938 388.27569580078125 1137.252685546875 624.4015502929688],0.41901737451553345,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6407974544031529
201,27.0,[78.70194056528226 5.316774213392023 1615.77365153614 959.8088839977502],[729.8408203125 400.4718933105469 1127.093017578125 632.426025390625],0.2575571537017822,ঢাকা মেট্রোগ ১৭-২০৬৪,0.651860701829124
202,27.0,[53.638485022905456 7.415236910616329 1607.1141053148722 963.461386206704],[729.760986328125 400.3312683105469 1126.9951171875 632.1929321289062],0.25407493114471436,ঢাকা মেট্রোগ ১৭-২০৬৪,0.6405815958397496
203,27.0,[52.5240602920876 10.49396469714361 1606.0747161696677 975.57614859575],[746.3919067382812 404.5712585449219 1092.6124267578125 641.3450927734375],0.3722042739391327,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.3954457148803781
204,27.0,[52.49295017103532 10.717340674841807 1605.7000080772707 983.523962808677],[759.6524047851562 404.3514404296875 1102.1756591796875 640.64453125],0.3171062767505646,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6825745130135554
205,27.0,[53.14290575058067 9.781732849781179 1605.8153400200779 988.7451980276753],[759.728759765625 404.39556884765625 1102.2052001953125 640.6309204101562],0.31852513551712036,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6547293781598732
